Date,Mon,Tue,Wed,Thu,Fri,Sat
"15/06/2020
to
20/06/2020","1
6
9","68 ","4
5
9","1
1
8","01 ","2
4
5","1
4
9","49 ","1
3
5","4
6
6","69 ","3
6
0","1
3
7","18 ","4
7
7","1
7
9","79 ","3
7
9"
"23/06/2020
to
28/06/2020","1
3
0","42 ","1
5
6","2
4
5","15 ","4
4
7","2
5
0","78 ","3
7
8","1
6
7","41 ","6
7
8","2
5
8","58 ","2
7
9","5
7
9","14 ","1
1
2"
"29/06/2020
to
04/07/2020","1
2
4","73 ","2
5
6","2
6
7","56 ","8
9
9","7
8
9","42 ","2
3
7","6
0
0","61 ","1
4
6","5
7
8","02 ","2
4
6","1
6
0","79 ","4
6
9"
"06/07/2020
to
11/07/2020","1
1
8","04 ","3
4
7","4
8
9","10 ","2
3
5","1
5
9","57 ","3
5
9","6
9
0","57 ","3
5
9","2
4
0","62 ","2
5
5","1
8
9","80 ","3
8
9"
"12/07/2020
to
17/07/2020","5
5
9","96 ","3
4
9","1
2
5","86 ","7
9
0","3
5
9","75 ","1
6
8","3
7
9","91 ","6
7
8","2
4
4","05 ","1
6
8","6
8
9","32 ","2
5
5"
"18/07/2020
to
23/07/2020","2
8
9","95 ","2
4
9","5
6
0","17 ","1
7
9","2
6
7","54 ","7
7
0","4
5
9","81 ","2
4
5","9
0
0","92 ","5
8
9","1
4
6","10 ","4
6
0"
"25/07/2020
to
30/07/2020","5
8
9","26 ","1
2
3","1
5
8","49 ","1
1
7","1
4
6","10 ","3
8
9","2
8
9","97 ","2
2
3","5
7
9","12 ","2
0
0","5
6
7","84 ","5
9
0"
"01/08/2020
to
06/08/2020","5
5
7","70 ","1
3
6","5
6
8","90 ","1
3
6","3
8
0","14 ","2
5
7","6
7
0","34 ","3
5
6","1
2
3","60 ","3
3
4","8
9
0","78 ","4
5
9"
"10/08/2020
to
15/08/2020","2
3
7","24 ","1
3
0","1
0
0","16 ","1
7
8","4
7
9","02 ","5
8
9","2
5
8","54 ","1
3
0","2
4
5","12 ","4
9
9","*
*
*","** ","*
*
*"
"17/08/2020
to
22/08/2020","6
9
0","57 ","2
2
3","2
5
9","69 ","3
6
0","1
3
8","22 ","1
5
6","1
5
0","63 ","6
8
9","1
2
8","15 ","7
8
0","1
4
5","04 ","1
3
0"
"24/08/2020
to
29/08/2020","2
5
0","78 ","1
2
5","3
5
7","54 ","7
7
0","1
3
9","31 ","2
4
5","3
3
5","15 ","1
4
0","1
5
6","22 ","5
8
9","9
0
0","94 ","1
5
8"
"31/08/2020
to
05/09/2020","1
8
0","93 ","2
3
8","2
3
4","97 ","3
5
9","1
4
9","45 ","2
6
7","4
6
8","87 ","3
5
9","6
9
0","51 ","5
7
9","1
7
0","86 ","1
2
3"
